featureId,name,dateFrom,dateTo,sourceId
cshape-615-1886-01-01-1901-02-06-452,Algeria,1886-01-01,1901-02-06,cshapes-2-1
cshape-615-1901-02-07-1902-12-24-453,Algeria,1901-02-07,1902-12-24,cshapes-2-1
cshape-615-1902-12-25-1919-09-11-454,Algeria,1902-12-25,1919-09-11,cshapes-2-1
cshape-615-1919-09-12-1962-07-04-455,Algeria,1919-09-12,1962-07-04,cshapes-2-1
cshape-615-1962-07-05-2023-12-31-456,Algeria,1962-07-05,2023-12-31,cshapes-2-1
cshape-540-1886-01-01-1890-08-19-386,Angola,1886-01-01,1890-08-19,cshapes-2-1
cshape-540-1890-08-20-1891-06-10-387,Angola,1890-08-20,1891-06-10,cshapes-2-1
cshape-540-1891-06-11-1905-05-29-388,Angola,1891-06-11,1905-05-29,cshapes-2-1
cshape-540-1905-05-30-1975-11-10-389,Angola,1905-05-30,1975-11-10,cshapes-2-1
cshape-540-1975-11-11-2023-12-31-390,Angola,1975-11-11,2023-12-31,cshapes-2-1
cshape-434-1895-01-01-1897-07-22-240,Benin,1895-01-01,1897-07-22,cshapes-2-1
cshape-434-1897-07-23-1898-06-13-241,Benin,1897-07-23,1898-06-13,cshapes-2-1
cshape-434-1898-06-14-1960-07-31-242,Benin,1898-06-14,1960-07-31,cshapes-2-1
cshape-434-1960-08-01-2023-12-31-243,Benin,1960-08-01,2023-12-31,cshapes-2-1
cshape-571-1886-01-01-1890-06-30-420,Botswana,1886-01-01,1890-06-30,cshapes-2-1
cshape-571-1890-07-01-1895-11-15-421,Botswana,1890-07-01,1895-11-15,cshapes-2-1
cshape-571-1895-11-16-1966-09-29-422,Botswana,1895-11-16,1966-09-29,cshapes-2-1
cshape-571-1966-09-30-2023-12-31-423,Botswana,1966-09-30,2023-12-31,cshapes-2-1
cshape-5612-1886-01-01-1890-06-29-695,British Bechuanaland,1886-01-01,1890-06-29,cshapes-2-1
cshape-5612-1890-06-30-1895-11-15-696,British Bechuanaland,1890-06-30,1895-11-15,cshapes-2-1
cshape-472-1919-06-28-1922-07-19-303,British Cameroons,1919-06-28,1922-07-19,cshapes-2-1
cshape-472-1922-07-20-1961-09-30-304,British Cameroons,1922-07-20,1961-09-30,cshapes-2-1
cshape-521-1886-01-01-1897-04-13-369,British Somaliland (Somaliland Republic),1886-01-01,1897-04-13,cshapes-2-1
cshape-521-1897-04-14-1960-06-30-370,British Somaliland (Somaliland Republic),1897-04-14,1960-06-30,cshapes-2-1
cshape-462-1922-07-20-1955-12-31-293,British Togoland,1922-07-20,1955-12-31,cshapes-2-1
cshape-439-1919-03-01-1932-09-04-269,Burkina Faso (Upper Volta),1919-03-01,1932-09-04,cshapes-2-1
cshape-439-1947-01-04-1960-08-04-270,Burkina Faso (Upper Volta),1947-01-04,1960-08-04,cshapes-2-1
cshape-439-1960-08-05-2023-12-31-271,Burkina Faso (Upper Volta),1960-08-05,2023-12-31,cshapes-2-1
cshape-516-1962-07-01-2023-12-31-366,Burundi,1962-07-01,2023-12-31,cshapes-2-1
cshape-471-1919-06-28-1922-07-19-299,Cameroon,1919-06-28,1922-07-19,cshapes-2-1
cshape-471-1922-07-20-1959-12-31-300,Cameroon,1922-07-20,1959-12-31,cshapes-2-1
cshape-471-1960-01-01-1961-09-30-301,Cameroon,1960-01-01,1961-09-30,cshapes-2-1
cshape-471-1961-10-01-2023-12-31-302,Cameroon,1961-10-01,2023-12-31,cshapes-2-1
cshape-561-1886-01-01-1895-11-15-406,Cape Colony,1886-01-01,1895-11-15,cshapes-2-1
cshape-561-1895-11-16-1910-05-29-407,Cape Colony,1895-11-16,1910-05-29,cshapes-2-1
cshape-402-1886-01-01-1975-07-04-215,Cape Verde,1886-01-01,1975-07-04,cshapes-2-1
cshape-402-1975-07-05-2023-12-31-216,Cape Verde,1975-07-05,2023-12-31,cshapes-2-1
cshape-482-1906-02-11-1912-03-29-314,Central African Republic,1906-02-11,1912-03-29,cshapes-2-1
cshape-482-1912-03-30-1919-06-27-315,Central African Republic,1912-03-30,1919-06-27,cshapes-2-1
cshape-482-1919-06-28-1960-08-12-316,Central African Republic,1919-06-28,1960-08-12,cshapes-2-1
cshape-482-1960-08-13-2023-12-31-317,Central African Republic,1960-08-13,2023-12-31,cshapes-2-1
cshape-483-1900-09-05-1912-03-29-318,Chad,1900-09-05,1912-03-29,cshapes-2-1
cshape-483-1912-03-30-1919-06-27-319,Chad,1912-03-30,1919-06-27,cshapes-2-1
cshape-483-1919-06-28-1920-03-16-320,Chad,1919-06-28,1920-03-16,cshapes-2-1
cshape-483-1920-03-17-1960-08-10-321,Chad,1920-03-17,1960-08-10,cshapes-2-1
cshape-483-1960-08-11-2023-12-31-322,Chad,1960-08-11,2023-12-31,cshapes-2-1
cshape-581-1946-10-27-1975-07-05-432,Comoros,1946-10-27,1975-07-05,cshapes-2-1
cshape-581-1975-07-06-2023-12-31-433,Comoros,1975-07-06,2023-12-31,cshapes-2-1
cshape-484-1886-01-01-1898-06-13-323,Congo,1886-01-01,1898-06-13,cshapes-2-1
cshape-484-1898-06-14-1900-09-04-324,Congo,1898-06-14,1900-09-04,cshapes-2-1
cshape-484-1900-09-05-1906-02-10-325,Congo,1900-09-05,1906-02-10,cshapes-2-1
cshape-484-1906-02-11-1912-03-29-326,Congo,1906-02-11,1912-03-29,cshapes-2-1
cshape-484-1912-03-30-1919-06-27-327,Congo,1912-03-30,1919-06-27,cshapes-2-1
cshape-484-1919-06-28-1960-08-14-328,Congo,1919-06-28,1960-08-14,cshapes-2-1
cshape-484-1960-08-15-2023-12-31-329,Congo,1960-08-15,2023-12-31,cshapes-2-1
cshape-490-1886-01-01-1891-05-24-330,"Congo, Democratic Republic of (Zaire)",1886-01-01,1891-05-24,cshapes-2-1
cshape-490-1891-05-25-1891-06-10-331,"Congo, Democratic Republic of (Zaire)",1891-05-25,1891-06-10,cshapes-2-1
cshape-490-1891-06-11-1894-08-13-332,"Congo, Democratic Republic of (Zaire)",1891-06-11,1894-08-13,cshapes-2-1
cshape-490-1894-08-14-1908-10-17-333,"Congo, Democratic Republic of (Zaire)",1894-08-14,1908-10-17,cshapes-2-1
cshape-490-1908-10-18-1910-06-15-334,"Congo, Democratic Republic of (Zaire)",1908-10-18,1910-06-15,cshapes-2-1
cshape-490-1910-06-16-1960-06-29-335,"Congo, Democratic Republic of (Zaire)",1910-06-16,1960-06-29,cshapes-2-1
cshape-490-1960-06-30-2023-12-31-336,"Congo, Democratic Republic of (Zaire)",1960-06-30,2023-12-31,cshapes-2-1
