featureId,name,dateFrom,dateTo,sourceId
cshape-3-1886-01-01-1959-01-02-4,Alaska,1886-01-01,1959-01-02,cshapes-2-1
cshape-160-1886-01-01-1899-03-23-69,Argentina,1886-01-01,1899-03-23,cshapes-2-1
cshape-160-1899-03-24-1902-11-19-70,Argentina,1899-03-24,1902-11-19,cshapes-2-1
cshape-160-1902-11-20-2023-12-31-71,Argentina,1902-11-20,2023-12-31,cshapes-2-1
cshape-31-1886-01-01-1973-07-09-11,Bahamas,1886-01-01,1973-07-09,cshapes-2-1
cshape-31-1973-07-10-2023-12-31-12,Bahamas,1973-07-10,2023-12-31,cshapes-2-1
cshape-53-1886-01-01-1966-11-29-24,Barbados,1886-01-01,1966-11-29,cshapes-2-1
cshape-53-1966-11-30-2023-12-31-25,Barbados,1966-11-30,2023-12-31,cshapes-2-1
cshape-80-1886-01-01-1970-08-02-29,Belize,1886-01-01,1970-08-02,cshapes-2-1
cshape-80-1970-08-03-1981-09-20-30,Belize,1970-08-03,1981-09-20,cshapes-2-1
cshape-80-1981-09-21-2023-12-31-31,Belize,1981-09-21,2023-12-31,cshapes-2-1
cshape-145-1886-01-01-1903-11-16-60,Bolivia,1886-01-01,1903-11-16,cshapes-2-1
cshape-145-1903-11-17-1909-07-08-61,Bolivia,1903-11-17,1909-07-08,cshapes-2-1
cshape-145-1909-07-09-1938-07-20-62,Bolivia,1909-07-09,1938-07-20,cshapes-2-1
cshape-145-1938-07-21-2023-12-31-63,Bolivia,1938-07-21,2023-12-31,cshapes-2-1
cshape-140-1886-01-01-1903-11-16-56,Brazil,1886-01-01,1903-11-16,cshapes-2-1
cshape-140-1903-11-17-1909-07-08-57,Brazil,1903-11-17,1909-07-08,cshapes-2-1
cshape-140-1909-07-09-1960-04-20-58,Brazil,1909-07-09,1960-04-20,cshapes-2-1
cshape-140-1960-04-21-2023-12-31-59,Brazil,1960-04-21,2023-12-31,cshapes-2-1
cshape-20-1886-01-01-1948-07-21-8,Canada,1886-01-01,1948-07-21,cshapes-2-1
cshape-20-1948-07-22-2023-12-31-9,Canada,1948-07-22,2023-12-31,cshapes-2-1
cshape-155-1886-01-01-1899-03-23-66,Chile,1886-01-01,1899-03-23,cshapes-2-1
cshape-155-1899-03-24-1902-11-19-67,Chile,1899-03-24,1902-11-19,cshapes-2-1
cshape-155-1902-11-20-2023-12-31-68,Chile,1902-11-20,2023-12-31,cshapes-2-1
cshape-100-1886-01-01-1903-11-02-38,Colombia,1886-01-01,1903-11-02,cshapes-2-1
