featureId,name,dateFrom,dateTo,sourceId
cshape-681-1937-04-01-1962-04-03-523,Aden,1937-04-01,1962-04-03,cshapes-2-1
cshape-700-1886-01-01-1888-12-30-533,Afghanistan,1886-01-01,1888-12-30,cshapes-2-1
cshape-700-1888-12-31-1893-11-11-534,Afghanistan,1888-12-31,1893-11-11,cshapes-2-1
cshape-700-1893-11-12-1919-04-30-535,Afghanistan,1893-11-12,1919-04-30,cshapes-2-1
cshape-700-1919-05-01-2023-12-31-536,Afghanistan,1919-05-01,2023-12-31,cshapes-2-1
cshape-692-1971-08-15-2023-12-31-525,Bahrain,1971-08-15,2023-12-31,cshapes-2-1
cshape-771-1971-12-16-2023-12-31-581,Bangladesh,1971-12-16,2023-12-31,cshapes-2-1
cshape-760-1886-01-01-1947-08-14-573,Bhutan,1886-01-01,1947-08-14,cshapes-2-1
cshape-760-1947-08-15-1948-12-31-574,Bhutan,1947-08-15,1948-12-31,cshapes-2-1
cshape-760-1949-01-01-2023-12-31-575,Bhutan,1949-01-01,2023-12-31,cshapes-2-1
cshape-7020-1886-01-01-1920-09-01-702,Bokhara,1886-01-01,1920-09-01,cshapes-2-1
cshape-835-1888-09-17-1983-12-31-627,Brunei,1888-09-17,1983-12-31,cshapes-2-1
cshape-835-1984-01-01-2023-12-31-628,Brunei,1984-01-01,2023-12-31,cshapes-2-1
cshape-811-1886-01-01-1893-10-02-595,Cambodia (Kampuchea),1886-01-01,1893-10-02,cshapes-2-1
cshape-811-1893-10-03-1904-02-17-596,Cambodia (Kampuchea),1893-10-03,1904-02-17,cshapes-2-1
cshape-811-1904-02-18-1907-03-22-597,Cambodia (Kampuchea),1904-02-18,1907-03-22,cshapes-2-1
cshape-811-1907-03-23-1953-11-08-598,Cambodia (Kampuchea),1907-03-23,1953-11-08,cshapes-2-1
cshape-811-1953-11-09-2023-12-31-599,Cambodia (Kampuchea),1953-11-09,2023-12-31,cshapes-2-1
cshape-710-1886-01-01-1895-04-16-543,China,1886-01-01,1895-04-16,cshapes-2-1
cshape-710-1895-04-17-1898-12-31-544,China,1895-04-17,1898-12-31,cshapes-2-1
cshape-710-1899-01-01-1912-12-31-545,China,1899-01-01,1912-12-31,cshapes-2-1
cshape-710-1913-01-01-1914-04-16-546,China,1913-01-01,1914-04-16,cshapes-2-1
cshape-710-1914-04-17-1921-03-12-547,China,1914-04-17,1921-03-12,cshapes-2-1
cshape-710-1921-03-13-1945-08-14-548,China,1921-03-13,1945-08-14,cshapes-2-1
cshape-710-1945-08-15-1947-08-14-549,China,1945-08-15,1947-08-14,cshapes-2-1
cshape-710-1947-08-15-1949-12-07-550,China,1947-08-15,1949-12-07,cshapes-2-1
cshape-710-1949-12-08-1950-10-01-551,China,1949-12-08,1950-10-01,cshapes-2-1
cshape-710-1950-10-02-2023-12-31-552,China,1950-10-02,2023-12-31,cshapes-2-1
cshape-6812-1937-04-01-1962-04-03-701,East Aden Protectorate,1937-04-01,1962-04-03,cshapes-2-1
cshape-860-1886-01-01-1976-07-16-644,East Timor,1886-01-01,1976-07-16,cshapes-2-1
cshape-860-2002-05-20-2023-12-31-645,East Timor,2002-05-20,2023-12-31,cshapes-2-1
cshape-821-1896-07-01-1909-03-09-614,Federated Malay States,1896-07-01,1909-03-09,cshapes-2-1
cshape-821-1909-03-10-1946-03-31-615,Federated Malay States,1909-03-10,1946-03-31,cshapes-2-1
cshape-6801-1962-04-04-1967-11-29-700,Federation of South Arabia,1962-04-04,1967-11-29,cshapes-2-1
cshape-750-1886-01-01-1893-11-11-565,India,1886-01-01,1893-11-11,cshapes-2-1
cshape-750-1893-11-12-1898-12-31-566,India,1893-11-12,1898-12-31,cshapes-2-1
cshape-750-1899-01-01-1914-07-02-567,India,1899-01-01,1914-07-02,cshapes-2-1
cshape-750-1914-07-03-1931-02-12-568,India,1914-07-03,1931-02-12,cshapes-2-1
cshape-750-1931-02-13-1937-03-31-569,India,1931-02-13,1937-03-31,cshapes-2-1
cshape-750-1937-04-01-1947-08-14-570,India,1937-04-01,1947-08-14,cshapes-2-1
cshape-750-1947-08-15-1949-01-04-571,India,1947-08-15,1949-01-04,cshapes-2-1
cshape-750-1949-01-05-2023-12-31-572,India,1949-01-05,2023-12-31,cshapes-2-1
cshape-850-1886-01-01-1889-06-19-634,Indonesia,1886-01-01,1889-06-19,cshapes-2-1
cshape-850-1889-06-20-1945-08-16-635,Indonesia,1889-06-20,1945-08-16,cshapes-2-1
cshape-850-1945-08-17-1949-12-28-636,Indonesia,1945-08-17,1949-12-28,cshapes-2-1
cshape-850-1949-12-29-1969-09-16-637,Indonesia,1949-12-29,1969-09-16,cshapes-2-1
cshape-850-1969-09-17-1976-07-16-638,Indonesia,1969-09-17,1976-07-16,cshapes-2-1
cshape-850-1976-07-17-2002-05-19-639,Indonesia,1976-07-17,2002-05-19,cshapes-2-1
cshape-850-2002-05-20-2023-12-31-640,Indonesia,2002-05-20,2023-12-31,cshapes-2-1
cshape-630-1886-01-01-2023-12-31-474,Iran (Persia),1886-01-01,2023-12-31,cshapes-2-1
cshape-645-1920-04-26-1920-12-23-484,Iraq,1920-04-26,1920-12-23,cshapes-2-1
cshape-645-1920-12-24-1922-12-01-485,Iraq,1920-12-24,1922-12-01,cshapes-2-1
cshape-645-1922-12-02-1932-09-22-486,Iraq,1922-12-02,1932-09-22,cshapes-2-1
cshape-645-1932-09-23-1932-10-02-487,Iraq,1932-09-23,1932-10-02,cshapes-2-1
cshape-645-1932-10-03-2023-12-31-488,Iraq,1932-10-03,2023-12-31,cshapes-2-1
cshape-666-1948-05-14-1967-06-09-512,Israel,1948-05-14,1967-06-09,cshapes-2-1
cshape-666-1967-06-10-1979-05-25-513,Israel,1967-06-10,1979-05-25,cshapes-2-1
cshape-666-1979-05-26-2023-12-31-514,Israel,1979-05-26,2023-12-31,cshapes-2-1
cshape-7506-1947-08-15-1949-01-04-705,Jammu and Kashmir,1947-08-15,1949-01-04,cshapes-2-1
cshape-740-1886-01-01-2023-12-31-564,Japan,1886-01-01,2023-12-31,cshapes-2-1
cshape-663-1920-04-26-1920-12-23-504,Jordan,1920-04-26,1920-12-23,cshapes-2-1
cshape-663-1920-12-24-1923-09-28-505,Jordan,1920-12-24,1923-09-28,cshapes-2-1
cshape-663-1923-09-29-1925-11-01-506,Jordan,1923-09-29,1925-11-01,cshapes-2-1
cshape-663-1925-11-02-1946-05-24-507,Jordan,1925-11-02,1946-05-24,cshapes-2-1
cshape-663-1946-05-25-2023-12-31-508,Jordan,1946-05-25,2023-12-31,cshapes-2-1
cshape-7708-1947-08-15-1949-01-04-706,"Kashmir (North, Azad)",1947-08-15,1949-01-04,cshapes-2-1
kazakhstan-1991-1996,Kazakhstan,1991,1996,cshapes-europe
kazakhstan-1997-2023,Kazakhstan,1997,2023,cshapes-europe
cshape-7030-1886-01-01-1920-02-01-703,Khiva,1886-01-01,1920-02-01,cshapes-2-1
cshape-730-1886-01-01-1910-08-22-558,Korea,1886-01-01,1910-08-22,cshapes-2-1
cshape-730-1910-08-23-1945-08-14-559,Korea,1910-08-23,1945-08-14,cshapes-2-1
cshape-731-1945-08-15-1948-09-08-560,"Korea, People's Republic of",1945-08-15,1948-09-08,cshapes-2-1
cshape-731-1948-09-09-2023-12-31-561,"Korea, People's Republic of",1948-09-09,2023-12-31,cshapes-2-1
cshape-732-1945-08-15-1948-08-14-562,"Korea, Republic of",1945-08-15,1948-08-14,cshapes-2-1
cshape-732-1948-08-15-2023-12-31-563,"Korea, Republic of",1948-08-15,2023-12-31,cshapes-2-1
cshape-690-1961-06-19-2023-12-31-524,Kuwait,1961-06-19,2023-12-31,cshapes-2-1
cshape-703-1991-09-01-2023-12-31-539,Kyrgyz Republic,1991-09-01,2023-12-31,cshapes-2-1
cshape-812-1893-10-03-1896-01-14-600,Laos,1893-10-03,1896-01-14,cshapes-2-1
cshape-812-1896-01-15-1954-04-30-601,Laos,1896-01-15,1954-04-30,cshapes-2-1
cshape-812-1954-05-01-2023-12-31-602,Laos,1954-05-01,2023-12-31,cshapes-2-1
cshape-660-1920-04-26-1920-12-23-501,Lebanon,1920-04-26,1920-12-23,cshapes-2-1
cshape-660-1920-12-24-1944-11-21-502,Lebanon,1920-12-24,1944-11-21,cshapes-2-1
cshape-660-1944-11-22-2023-12-31-503,Lebanon,1944-11-22,2023-12-31,cshapes-2-1
cshape-820-1946-04-01-1957-08-30-610,Malaysia,1946-04-01,1957-08-30,cshapes-2-1
cshape-820-1957-08-31-1963-09-15-611,Malaysia,1957-08-31,1963-09-15,cshapes-2-1
cshape-820-1963-09-16-1965-08-08-612,Malaysia,1963-09-16,1965-08-08,cshapes-2-1
cshape-820-1965-08-09-2023-12-31-613,Malaysia,1965-08-09,2023-12-31,cshapes-2-1
cshape-781-1887-12-16-1965-05-25-587,Maldives,1887-12-16,1965-05-25,cshapes-2-1
cshape-781-1965-05-26-2023-12-31-588,Maldives,1965-05-26,2023-12-31,cshapes-2-1
cshape-712-1921-03-13-2023-12-31-555,Mongolia,1921-03-13,2023-12-31,cshapes-2-1
cshape-775-1937-04-01-1948-01-03-582,Myanmar (Burma),1937-04-01,1948-01-03,cshapes-2-1
