featureId,name,dateFrom,dateTo,sourceId
albania-1913-1913,Albania,1913,1913,cshapes-europe
albania-1914-1919,Albania,1914,1919,cshapes-europe
albania-1920-2023,Albania,1920,2023,cshapes-europe
andorra-1816-2019,Andorra,1816,2019,cshapes-europe
anhalt-1864-1870,Anhalt,1864,1870,cshapes-europe
anhalt-bernberg-1816-1864,Anhalt-Bernberg,1816,1864,cshapes-europe
anhalt-dessau-1816-1863,Anhalt-Dessau,1816,1863,cshapes-europe
cshape-371-1991-12-26-2023-12-31-201,Armenia,1991-12-26,2023-12-31,cshapes-2-1
austria-1918-1918,Austria,1918,1918,cshapes-europe
austria-1919-2023,Austria,1919,2023,cshapes-europe
austria-hungary-1816-1846,Austria-Hungary,1816,1846,cshapes-europe
austria-hungary-1847-1847,Austria-Hungary,1847,1847,cshapes-europe
austria-hungary-1848-1856,Austria-Hungary,1848,1856,cshapes-europe
austria-hungary-1857-1860,Austria-Hungary,1857,1860,cshapes-europe
austria-hungary-1861-1864,Austria-Hungary,1861,1864,cshapes-europe
austria-hungary-1865-1866,Austria-Hungary,1865,1866,cshapes-europe
austria-hungary-1867-1878,Austria-Hungary,1867,1878,cshapes-europe
austria-hungary-1879-1885,Austria-Hungary,1879,1885,cshapes-europe
austria-hungary-1886-1907,Austria-Hungary,1886,1907,cshapes-europe
austria-hungary-1908-1917,Austria-Hungary,1908,1917,cshapes-europe
cshape-300-1908-10-07-1918-11-02-101,Austria-Hungary,1908-10-07,1918-11-02,cshapes-2-1
azerbaijan-1991-2023,Azerbaijan,1991,2023,cshapes-europe
baden-1816-1818,Baden,1816,1818,cshapes-europe
baden-1819-1870,Baden,1819,1870,cshapes-europe
bavaria-1816-1816,Bavaria,1816,1816,cshapes-europe
bavaria-1817-1818,Bavaria,1817,1818,cshapes-europe
bavaria-1819-1826,Bavaria,1819,1826,cshapes-europe
bavaria-1827-1850,Bavaria,1827,1850,cshapes-europe
bavaria-1851-1870,Bavaria,1851,1870,cshapes-europe
belarus-byelorussia-1991-2023,Belarus (Byelorussia),1991,2023,cshapes-europe
belgium-1831-1831,Belgium,1831,1831,cshapes-europe
belgium-1832-1839,Belgium,1832,1839,cshapes-europe
belgium-1840-1885,Belgium,1840,1885,cshapes-europe
belgium-1886-2023,Belgium,1886,2023,cshapes-europe
bosnia-1886-1907,Bosnia,1886,1907,cshapes-europe
cshape-3461-1886-01-01-1908-10-06-677,Bosnia,1886-01-01,1908-10-06,cshapes-2-1
bosnia-herzegovina-1992-2023,Bosnia-Herzegovina,1992,2023,cshapes-europe
bremen-1816-1870,Bremen,1816,1870,cshapes-europe
bulgaria-1879-1885,Bulgaria,1879,1885,cshapes-europe
bulgaria-1886-1912,Bulgaria,1886,1912,cshapes-europe
bulgaria-1913-1917,Bulgaria,1913,1917,cshapes-europe
bulgaria-1918-1918,Bulgaria,1918,1918,cshapes-europe
bulgaria-1919-1939,Bulgaria,1919,1939,cshapes-europe
bulgaria-1940-2023,Bulgaria,1940,2023,cshapes-europe
chechens-1816-1818,Chechens,1816,1818,cshapes-europe
chechens-1819-1857,Chechens,1819,1857,cshapes-europe
circassia-1816-1830,Circassia,1816,1830,cshapes-europe
circassia-1831-1861,Circassia,1831,1861,cshapes-europe
cracow-1816-1846,Cracow,1816,1846,cshapes-europe
croatia-1992-2023,Croatia,1992,2023,cshapes-europe
cshape-352-1914-11-05-1960-08-15-146,Cyprus,1914-11-05,1960-08-15,cshapes-2-1
cshape-352-1960-08-16-2023-12-31-147,Cyprus,1960-08-16,2023-12-31,cshapes-2-1
czech-republic-1993-2023,Czech Republic,1993,2023,cshapes-europe
czechoslovakia-1918-1937,Czechoslovakia,1918,1937,cshapes-europe
czechoslovakia-1938-1944,Czechoslovakia,1938,1944,cshapes-europe
czechoslovakia-1945-1946,Czechoslovakia,1945,1946,cshapes-europe
czechoslovakia-1947-1992,Czechoslovakia,1947,1992,cshapes-europe
danzig-1919-1937,Danzig,1919,1937,cshapes-europe
cshape-291-1919-06-28-1938-08-31-99,Danzig,1919-06-28,1938-08-31,cshapes-2-1
denmark-1816-1864,Denmark,1816,1864,cshapes-europe
denmark-1865-1885,Denmark,1865,1885,cshapes-europe
denmark-1886-1919,Denmark,1886,1919,cshapes-europe
denmark-1920-2023,Denmark,1920,2023,cshapes-europe
estonia-1918-1939,Estonia,1918,1939,cshapes-europe
cshape-366-1918-11-11-1940-06-01-189,Estonia,1918-11-11,1940-06-01,cshapes-2-1
estonia-1991-2023,Estonia,1991,2023,cshapes-europe
finland-1917-1939,Finland,1917,1939,cshapes-europe
finland-1940-2023,Finland,1940,2023,cshapes-europe
france-1816-1860,France,1816,1860,cshapes-europe
france-1861-1870,France,1861,1870,cshapes-europe
france-1871-1879,France,1871,1879,cshapes-europe
france-1880-1885,France,1880,1885,cshapes-europe
france-1886-1918,France,1886,1918,cshapes-europe
france-1919-2023,France,1919,2023,cshapes-europe
frankfurt-1816-1866,Frankfurt,1816,1866,cshapes-europe
georgia-1991-2023,Georgia,1991,2023,cshapes-europe
german-democratic-republic-1945-1948,German Democratic Republic,1945,1948,cshapes-europe
german-democratic-republic-1949-1989,German Democratic Republic,1949,1989,cshapes-europe
cshape-265-1949-10-05-1990-10-02-92,German Democratic Republic,1949-10-05,1990-10-02,cshapes-2-1
german-federal-republic-1945-1948,German Federal Republic,1945,1948,cshapes-europe
german-federal-republic-1949-1989,German Federal Republic,1949,1989,cshapes-europe
german-federal-republic-1990-2023,German Federal Republic,1990,2023,cshapes-europe
germany-1816-1816,Germany,1816,1816,cshapes-europe
germany-1817-1817,Germany,1817,1817,cshapes-europe
germany-1818-1827,Germany,1818,1827,cshapes-europe
germany-1828-1834,Germany,1828,1834,cshapes-europe
germany-1835-1839,Germany,1835,1839,cshapes-europe
germany-1840-1848,Germany,1840,1848,cshapes-europe
germany-1849-1850,Germany,1849,1850,cshapes-europe
