featureId,name,dateFrom,dateTo,sourceId
cshape-900-1901-01-01-1927-05-08-646,Australia,1901-01-01,1927-05-08,cshapes-2-1
cshape-900-1927-05-09-2023-12-31-647,Australia,1927-05-09,2023-12-31,cshapes-2-1
cshape-950-1886-01-01-1970-10-09-673,Fiji,1886-01-01,1970-10-09,cshapes-2-1
cshape-950-1970-10-10-2023-12-31-674,Fiji,1970-10-10,2023-12-31,cshapes-2-1
cshape-960-1903-05-19-2023-12-31-675,French Polynesia,1903-05-19,2023-12-31,cshapes-2-1
cshape-9401-1886-01-01-1899-11-13-710,German Solomon Islands,1886-01-01,1899-11-13,cshapes-2-1
cshape-930-1886-01-01-2023-12-31-668,New Caledonia and Dependencies,1886-01-01,2023-12-31,cshapes-2-1
cshape-912-1886-01-01-1890-12-31-660,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1886-01-01,1890-12-31,cshapes-2-1
cshape-912-1891-01-01-1899-12-31-661,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1891-01-01,1899-12-31,cshapes-2-1
cshape-912-1900-01-01-1909-12-31-662,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1900-01-01,1909-12-31,cshapes-2-1
cshape-912-1910-01-01-1914-11-10-663,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1910-01-01,1914-11-10,cshapes-2-1
cshape-912-1914-11-11-1920-06-27-664,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1914-11-11,1920-06-27,cshapes-2-1
cshape-912-1920-06-28-1949-06-30-665,New Guinea (German New Guinea) (Kaiser Wilhelmsland),1920-06-28,1949-06-30,cshapes-2-1
cshape-901-1886-01-01-1900-12-31-648,New South Wales,1886-01-01,1900-12-31,cshapes-2-1
cshape-920-1886-01-01-1907-08-31-666,New Zealand,1886-01-01,1907-08-31,cshapes-2-1
cshape-920-1907-09-01-2023-12-31-667,New Zealand,1907-09-01,2023-12-31,cshapes-2-1
cshape-911-1886-01-01-1887-12-31-656,Papua,1886-01-01,1887-12-31,cshapes-2-1
cshape-911-1888-01-01-1905-11-15-657,Papua,1888-01-01,1905-11-15,cshapes-2-1
cshape-911-1905-11-16-1920-12-16-658,Papua,1905-11-16,1920-12-16,cshapes-2-1
cshape-911-1920-12-17-1949-06-30-659,Papua,1920-12-17,1949-06-30,cshapes-2-1
cshape-910-1949-07-01-1975-09-15-654,Papua New Guinea,1949-07-01,1975-09-15,cshapes-2-1
cshape-910-1975-09-16-2023-12-31-655,Papua New Guinea,1975-09-16,2023-12-31,cshapes-2-1
cshape-905-1886-01-01-1900-12-31-652,Queensland,1886-01-01,1900-12-31,cshapes-2-1
cshape-940-1893-03-15-1899-11-13-669,Solomon Islands,1893-03-15,1899-11-13,cshapes-2-1
cshape-940-1899-11-14-1951-12-31-670,Solomon Islands,1899-11-14,1951-12-31,cshapes-2-1
cshape-940-1952-01-01-1978-07-06-671,Solomon Islands,1952-01-01,1978-07-06,cshapes-2-1
cshape-940-1978-07-07-2023-12-31-672,Solomon Islands,1978-07-07,2023-12-31,cshapes-2-1
cshape-903-1886-01-01-1900-12-31-650,South Australia,1886-01-01,1900-12-31,cshapes-2-1
cshape-906-1886-01-01-1900-12-31-653,Tasmania,1886-01-01,1900-12-31,cshapes-2-1
cshape-904-1886-01-01-1900-12-31-651,Victoria,1886-01-01,1900-12-31,cshapes-2-1
cshape-902-1886-01-01-1900-12-31-649,Western Australia,1886-01-01,1900-12-31,cshapes-2-1
