Signum,Plats,Socken,Härad,Kommun,Placering,Koordinater,Urspr. plats?,Nuv. koord.,Sockenkod/Fornlämningsnr.,Runtyper,Korsform,Period/Datering,Stilgruppering,Ristare,Materialtyp,Material,Föremål,Övrigt,Alternativt signum,Referens,Bildlänk,lat,lon,marker,date
Öl 1 $ ,Karlevi,Vickleby sn,Algutsrums hd,Mörbylånga,,6275755.1538971,ja,,"0879 (Vickleby), 10 [objektid=10087900100001]",,,V s 900-t,RAK,,sten,smålandsporfyr,runsten,västnordisk inskrift,B 1071; L 1323; DR 411,$=ATA Dnr 323-3515-2002; $=Gustavson 2002; Strid 1991:44; Svenska landsmål 1995 (321) s. 436 med n. 3; BN 1,http://kmb.raa.se/cocoon/bild/object_list_simple?query=Öl1&showthumbnails=true,56.60751293414527,16.439837379870426,ᚱ,950
Öl 2 †$ ,Algutsrums kyrka,Algutsrums sn,Algutsrums hd,Mörbylånga,,6283750.1544290,,,0785 (Algutsrum),,,V,Pr3,,sten,,runsten,,B 1076; L 1324,"$=Plansch IV fig. 2, 145ff.; BN 2",,56.67883412725441,16.527813493830703,ᚱ,1050
Öl 3 †$ ,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,,6268390.1539280,,,0858 (Resmo),,,V efter 1050,Pr3 - Pr4?,,sten,,fragment av runsten,"Parsten till Öl 4. Runföljden -unilu har av Bruce Nilsson lästs sueinu och tolkats Svæinu, Söderberg tolkar slutet som moður sina, Randvi.","L 1588, L 1589",$=SRI 1 plansch IV fig. 3; BN 5,,56.54135021224363,16.443755140108458,ᚱ,1050
Öl 4 $ ,Resmo kyrka,Resmo sn,Algutsrums hd,Mörbylånga,Kalmar läns museum (KLM 24962),6268390.1539280,nej,,0858 (Resmo),,,V efter 1050,Pr4,,sten,grå kalksten,runsten,Parsten till Öl 3.,"L 1588, L 1589",$=ATA Dnr 4707/43; BN 4,,56.54135021224363,16.443755140108458,ᚱ,1050
Öl 5 † ,Bårby,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6264000.1538250,,,0849 (Mörbylånga),,,V,Pr3,,sten,,runsten,,L 1320,BN 10,,56.50201268875837,16.42636894449485,ᚱ,1050
Öl 6 $ ,Mörbylånga kyrkogård,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265940.1536510,,,0849 (Mörbylånga),,,V,Pr4,,sten,grå kalksten,runsten,Ett fragment återfunnet 1964.,B 1074; L 1569,$=ATA Dnr 3960/71; BN 11,,56.51957184469278,16.398386935750466,ᚱ,1050
Öl 7 †$ ,Mörbylånga kyrka,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265940.1536510,,,0849 (Mörbylånga),,,V,Pr3,,sten,,runsten,,B 1072; L 1319,$=Bautil 1072 (SRI 1 plansch VI fig. 7); SRI 1 s. 148; BN 12,,56.51957184469278,16.398386935750466,ᚱ,1050
Öl 8 †M ,Mörbylånga kyrkogård,Mörbylånga sn,Algutsrums hd,Mörbylånga,,6265940.1536510,,,0849 (Mörbylånga),,,M s 1100-t,,,sten,,gravhäll,,B 1073; L 2057,SRI 1 s. 145ff; BN 13,,56.51957184469278,16.398386935750466,ᚱ,1150
Öl 9 † ,Kastlösa kyrka,Kastlösa sn,Gräsgårds hd,Mörbylånga,,6259160.1538460,,,0828 (Kastlösa),,,V,Pr2 - Pr3?,,sten,,runsten,,B 1063; L 1318,BN 19,,56.45853209282379,16.429066632252187,ᚱ,1050
Öl 10 †$ ,Alvlösa,Smedby sn,Gräsgårds hd,Mörbylånga,,6255100.1538925,,,0866 (Smedby),,,V,Pr2 - Pr3?,,sten,,runsten,Williams (2004) ger inget förslag till tolkning av runföljden fatran.,B 1064; L 1317,"$=SRI 1 plansch VII fig. 10, plansch XXXVI fig. 64; $=SRI 1 s. 142f; $=Williams 2004a; BN 20",,56.42203476662688,16.43600535381161,ᚱ,1050
