Stad,Landskap,Län 1970,Landsdel,"Stadsprivilegier/stadskommun från (och till, om före 1971)",Anmärkningar,marker,lat,lon,date
Alingsås,Västergötland,Älvsborgs län,Götaland,21 september 1619,,🏙️,57.9300,12.5330,1619
Arboga,Västmanland,Västmanlands län,Svealand,1200-talet,,🏙️,59.3939,15.8388,1200
Arvika,Värmland,Värmlands län,Svealand,1 januari 1911,Ombildades av Arvika köping,🏙️,59.6549,12.5852,1911
Askersund,Närke,Örebro län,Svealand,13 juni 1643,,🏙️,58.8799,14.9028,1643
Avaskär,Blekinge,Blekinge län,Götaland,1300-talet–1600,Stadsprivilegierna för Avaskär och Lyckå övertogs av Kristianopel,🏙️,56.2610,16.0400,1300
Avesta,Dalarna,Kopparbergs län,Svealand,"1641–1688, 1 april 1919",Ombildades av Avesta köping,🏙️,60.1469,16.1827,1641
Boden,Norrbotten,Norrbottens län,Norrland,1 januari 1919,Utbröts ur Överluleå landskommun samtidigt som Bodens municipalsamhälle upplöstes,🏙️,65.8275,21.6964,1919
Bollnäs,Hälsingland,Gävleborgs län,Norrland,1 januari 1942,Ombildades av Bollnäs och Björkhamre köpingar,🏙️,61.3513,16.3972,1942
Borgholm,Öland,Kalmar län,Götaland,28 augusti 1816,,🏙️,56.8799,16.6561,1816
Borlänge,Dalarna,Kopparbergs län,Svealand,1 januari 1944,Ombildades av Borlänge köping och Domnarvets landskommun,🏙️,60.4858,15.4371,1944
Borås,Västergötland,Älvsborgs län,Götaland,1621,,🏙️,57.7210,12.9403,1621
Broo,Värmland,Värmlands län,Svealand,1582–1584,Återuppstod som Kristinehamn,🏙️,59.3090,14.1080,1582
Brätte,Västergötland,Älvsborgs län,Götaland,1580-talet–1644,Stadsprivilegierna överfördes till Vänersborgs stad,🏙️,58.3808,12.3234,1580
Båstad,Skåne,Kristianstads län,Götaland,1462–1664,,🏙️,56.4269,12.8534,1462
Djursholm,Uppland,Stockholms län,Svealand,1 januari 1914,Ombildades av Djursholms köping.,🏙️,59.3974,18.0881,1914
Eksjö,Småland,Jönköpings län,Götaland,1403,,🏙️,57.6674,14.9736,1403
Elleholm,Blekinge,Blekinge län,Götaland,1400-talet–1600,Nu i Karlshamns kommun. Enbart stad under danska tiden.,🏙️,56.1700,14.8500,1400
Enköping,Uppland,Uppsala län,Svealand,före 1413,Stadsbebyggelse på 1100-talet,🏙️,59.6356,17.0779,1413
Eskilstuna,Södermanland,Södermanlands län,Svealand,25 oktober 1659,,🏙️,59.3736,16.4901,1659
Eslöv,Skåne,Malmöhus län,Götaland,1 januari 1911,Ombildades av Eslövs köping,🏙️,55.8375,13.3036,1911
Fagersta,Västmanland,Västmanlands län,Svealand,1 januari 1944,Ombildades av Västanfors landskommun med Västanfors municipalsamhälle,🏙️,60.0039,15.7906,1944
Falkenberg,Halland,Hallands län,Götaland,före 1558,,🏙️,56.9049,12.4913,1558
Falköping,Västergötland,Skaraborgs län,Götaland,före 1620,Hade stadsbebyggelse under medeltiden,🏙️,58.1735,13.5507,1620
Falsterbo,Skåne,Malmöhus län,Götaland,1200-talet–1754,Uppgick i Skanör med Falsterbo stad,🏙️,55.3833,12.8333,1200
Falun,Dalarna,Kopparbergs län,Svealand,1641,,🏙️,60.6065,15.6355,1641
Filipstad,Värmland,Värmlands län,Svealand,"1611–1695, 1835",,🏙️,59.7124,14.1683,1611
Flen,Södermanland,Södermanlands län,Svealand,1 januari 1949,Ombildades av Flens landskommun med Flens municipalsamhälle,🏙️,59.0583,16.5877,1949
Getakärr,Halland,Hallands län,Götaland,före 1309,Blev senare Varberg,🏙️,57.1056,12.2508,1309
Gränna,Småland,Jönköpings län,Götaland,1652,Nu i Jönköpings kommun,🏙️,58.0244,14.4674,1652
Gåsekil,Halland,Hallands län,Götaland,1400-talet–1539,Blev senare Gottskär,🏙️,57.4030,12.0790,1400
Gävle,Gästrikland,Gävleborgs län,Norrland,före 1446,,🏙️,60.6745,17.1417,1446
Göteborg,Västergötland och Bohuslän,Göteborgs och Bohus län,Götaland,"1603–1611, 1621",,🏙️,57.7089,11.9746,1621
Hagfors,Värmland,Värmlands län,Svealand,1 januari 1950,Utbröts ur Norra Råda landskommun samtidigt som Hagfors municipalsamhälle upplöstes,🏙️,60.0231,13.6727,1950
Halmstad,Halland,Hallands län,Götaland,före 1307 (annan plats)/1322,"Halmstad på nuvarande plats, hade före 1320-talet en föregångare längre upp vid Nissan, vilken omdöptes till Övraby. En kort tid på 1320-talet hette den nya staden Broktorp.",🏙️,56.6745,12.8568,1307
Haparanda,Norrbotten,Norrbottens län,Norrland,10 december 1842,,🏙️,65.8353,24.1367,1842
Hedemora,Dalarna,Kopparbergs län,Svealand,1446,,🏙️,60.2797,15.9886,1446
Helsingborg,Skåne,Malmöhus län,Götaland,1085,,🏙️,56.0467,12.6944,1085
Hjo,Västergötland,Skaraborgs län,Götaland,före 1413,,🏙️,58.3013,14.2878,1413
Hudiksvall,Hälsingland,Gävleborgs län,Norrland,1582,,🏙️,61.7284,17.1036,1582
Huskvarna,Småland,Jönköpings län,Götaland,1 januari 1911,"Ombildades av Huskvarna köping. Nu i Jönköpings kommun, Huskvarna är också del av tätorten Jönköping.",🏙️,57.7850,14.2630,1911
Härnösand,Ångermanland,Västernorrlands län,Norrland,1585,,🏙️,62.6323,17.9379,1585
Hässleholm,Skåne,Kristianstads län,Götaland,1 januari 1914,Ombildades av Hässleholms köping,🏙️,56.1589,13.7668,1914
Hästholmen,Östergötland,Östergötlands län,Götaland,1300-talet–omkring 1400,,🏙️,58.2726,14.6426,1300
Höganäs,Skåne,Malmöhus län,Götaland,1 januari 1936,Utbröts ur Väsby landskommun samtidigt som Höganäs municipalsamhälle upplöstes,🏙️,56.1997,12.5583,1936
Järle (Jerle),Västmanland,Örebro län,Svealand,(1642–ej indragna),Erhöll stadsprivilegier men har de facto aldrig varit stad. Nu i Nora kommun.,🏙️,59.5190,15.0390,1642
Jönköping,Småland,Jönköpings län,Götaland,"18 maj 1284 och den 14 augusti 1524 (marginellt annan plats), 1612",,🏙️,57.7826,14.1657,1284
Kalmar,Småland,Kalmar län,Götaland,omkring 1200,,🏙️,56.6629,16.3662,1200
Karl Johans stad,Norrbotten,Norrbottens län,Norrland,20 maj 1812–10 december 1842,Nära Nikkala; blev aldrig riktig stad,🏙️,65.7400,24.0000,1812
Karlshamn,Blekinge,Blekinge län,Götaland,1664,Hette Bodekull 1644–1666,🏙️,56.1707,14.8619,1664
Karlskoga,Värmland,Örebro län,Svealand,1 januari 1940,Ombildades av Karlskoga landskommun med Karlskoga municipalsamhälle,🏙️,59.3260,14.5230,1940
Karlskrona,Blekinge,Blekinge län,Götaland,20 augusti 1680,,🏙️,56.1612,15.5869,1680
Karlstad,Värmland,Värmlands län,Svealand,1584,,🏙️,59.3793,13.5036,1584
Katrineholm,Södermanland,Södermanlands län,Svealand,1 januari 1917,Utbröts ur Stora Malms landskommun samtidigt som Katrineholms municipalsamhälle upplöstes,🏙️,58.9956,16.2078,1917
Kiruna,Lappland,Norrbottens län,Norrland,1 januari 1948,Ombildades av Jukkasjärvi landskommun med Kiruna municipalsamhälle,🏙️,67.8558,20.2253,1948
