root_category,found_in_category,pageid,title,url,categories,matched_keyword,date,marker,latitude,longitude
Category:History books by century,Category:5th-century BC history books,26691443,Gongyang Zhuan,https://en.wikipedia.org/?curid=26691443,Category:5th-century BC history books | Category:Chinese classic texts | Category:Chinese history texts | Category:Chinese literature | Category:Confucian texts | Category:Thirteen Classics | Category:Zhou dynasty texts,Chinese,-500,📜,35.5819,116.9862
Category:History books by century,Category:5th-century BC history books,26691660,Guliang Zhuan,https://en.wikipedia.org/?curid=26691660,Category:5th-century BC history books | Category:Chinese classic texts | Category:Chinese history texts | Category:Chinese literature | Category:Confucian texts | Category:Confucianism stubs | Category:Han dynasty texts | Category:Thirteen Classics,Chinese,-500,📜,35.5819,116.9862
Category:History books by century,Category:5th-century BC history books,1349762,Guoyu (book),https://en.wikipedia.org/?curid=1349762,Category:5th-century BC history books | Category:Chinese classic texts | Category:Chinese history texts | Category:Works of unknown authorship,Chinese,-500,📜,35.5819,116.9862
Category:History books by century,Category:5th-century BC history books,752522,Histories (Herodotus),https://en.wikipedia.org/?curid=752522,Category:5th-century BC history books | Category:Ancient Greek history books | Category:Books about civilizations | Category:Classical ethnography | Category:Cultural depictions of Khufu | Category:Herodotus | Category:History books about the Greco-Persian Wars | Category:Phoenicia in ancient sources | Category:Texts in Ionic Greek,Greek,-500,📚,37.03778,27.42417
Category:History books by century,Category:5th-century BC history books,382350,History of the Peloponnesian War,https://en.wikipedia.org/?curid=382350,Category:5th-century BC history books | Category:Ancient Greek history books | Category:Ancient Greek military books | Category:Books about military history | Category:History books about wars | Category:Peloponnesian War | Category:Phoenicia in ancient sources | Category:Political philosophy in ancient Greece | Category:Unfinished books | Category:Unfinished literature completed by others,Greece,-500,📕,37.9170,23.7170
Category:History books by century,Category:5th-century BC history books,30875467,Spring and Autumn Annals,https://en.wikipedia.org/?curid=30875467,Category:5th-century BC history books | Category:Chinese chronicles | Category:Chinese classic texts | Category:Chinese history texts | Category:Confucian texts | Category:Four Books and Five Classics | Category:Lu (state) | Category:Works of unknown authorship | Category:Zhou dynasty texts,Chinese,-500,📜,35.5819,116.9862
Category:History books by century,Category:4th-century BC history books,206774,Anabasis (Xenophon),https://en.wikipedia.org/?curid=206774,Category:4th-century BC history books | Category:Anabasis (Xenophon) | Category:Ancient Greek military books | Category:Historians of Iran | Category:History books about the Greco-Persian Wars | Category:Military marching | Category:Military withdrawals | Category:Phoenicia in ancient sources | Category:Ten Thousand-ancient mercenaries | Category:Works by Xenophon,Greek,-400,📕,37.9670,23.9170
Category:History books by century,Category:4th-century BC history books,4170507,Bamboo Annals,https://en.wikipedia.org/?curid=4170507,Category:4th-century BC history books | Category:Bamboo and wooden slips | Category:Chinese chronicles | Category:Chinese history texts,Chinese,-400,📜,34.8000,114.3000
Category:History books by century,Category:4th-century BC history books,55848583,Constitution of the Lacedaemonians,https://en.wikipedia.org/?curid=55848583,Category:4th-century BC history books | Category:Ancient Greek constitutions | Category:Ancient Greek law | Category:Sparta | Category:Works by Xenophon,Greek,-400,📕,37.07389,22.42944
Category:History books by century,Category:4th-century BC history books,2237484,Hellenica,https://en.wikipedia.org/?curid=2237484,Category:4th-century BC history books | Category:Ancient Greek history books | Category:Ancient Greek military books | Category:Historiography of Greece | Category:History books about wars | Category:Works by Xenophon,Greece,-400,📕,37.9670,23.9170
