featureType,lat,lon,cityName,countryCode,geonameId,featureCode,population,source,year
point,55.00801,11.91057,Vordingborg,DK,2610020,PPLA2,17868,Wikipedia’s History of Denmark page says the Code of Jutland was approved at Vordingborg in 1241; this is used here as a clear documented mention of Vordingborg. (https://en.wikipedia.org/wiki/History_of_Denmark),1241
point,55.70927,9.5357,Vejle,DK,2610613,PPLA,60231,Wikipedia states that the first recorded mention of Vejle is from 1256. (https://en.wikipedia.org/wiki/Vejle),1256
point,55.62112,8.48069,Varde,DK,2610726,PPLA2,14039,"Wikipedia states that Varde is mentioned in written sources from 1107 AD, which is used here as the earliest documented record. (https://en.wikipedia.org/wiki/Varde)",1107
point,55.62199,12.38511,Vallensbæk,DK,2610789,PPLA2,16515,"Wikipedia states that Vallensbæk is known from at least 1184, when it was mentioned as Wolensbech. (https://en.wikipedia.org/wiki/Vallensb%C3%A6k)",1184
point,54.93306,8.86674,Tønder,DK,2611497,PPLA2,16401,Wikipedia says Tønder may have been mentioned in the mid-12th century by al-Idrisi as Tu(r)ndira; 1150 is used here as an approximate mid-12th-century year. (https://en.wikipedia.org/wiki/T%C3%B8nder),1150
point,56.95523,8.69491,Thisted,DK,2611755,PPLA2,13461,Wikipedia lists Thisted’s market-town status as beginning in 1500; this is the clearest dated early record found in a reliable general source. (https://en.wikipedia.org/wiki/Thisted),1500
point,55.65006,12.3016,Taastrup,DK,2611828,PPLA2,35238,"Wikipedia describes Taastrup as a railway town that rose from 1859, so 1859 is used for the modern town/locality in this dataset. (https://en.wikipedia.org/wiki/Taastrup)",1859
point,55.05982,10.60677,Svendborg,DK,2612045,PPLA2,27300,Wikipedia states that the first recorded mention of Svendborg occurred in 1229 in a deed of gift by Valdemar the Victorious. (https://en.wikipedia.org/wiki/Svendborg),1229
point,56.49205,8.59397,Struer,DK,2612204,PPLA2,11317,"Wikipedia says Struer’s growth is tied to the railroad arriving in 1865; this is used here for the modern town record. (https://en.wikipedia.org/wiki/Struer,_Denmark)",1865
point,55.76828,12.19723,Stenløse,DK,2612629,PPLA2,19998,"Wikipedia states that the first known mention of Stenløse was in 1260, recorded as Stenløsæ macla. (https://en.wikipedia.org/wiki/%C3%98lstykke-Stenl%C3%B8se)",1260
point,55.74232,12.30276,Smørumnedre,DK,2613345,PPL,9507,Norwegian Wikipedia states that Smørumnedre was mentioned in King Valdemar’s Census Book in 1231 as a royal estate (kongelev); this is used here as the earliest documented record found. (https://no.wikipedia.org/wiki/Sm%C3%B8rumnedre),1231
point,55.40276,11.35459,Slagelse,DK,2613460,PPLA2,31896,Wikipedia states that Slagelse has existed since the 1000s and that coins were minted there since Cnut the Great’s time; 1000 is used here as an approximate year for that early documented medieval presence. (https://en.wikipedia.org/wiki/Slagelse_Municipality),1000
