Original form,Preposition,Variant form,Lemma form,Standard form,Description,Place name or non-name,Real or fictional,Type of place name,Type of locality,Type of non-name,Latitude,Longitude,Language,Work,Source,Page/Folio,Source type,Edition,Edition page,Edition page link,Level of certainty,Notes ,ID link,coordinateSource,mapLocation,year,yearFrom,yearTo,marker
til anthiochiam,til,Anthiochia,Antiochia,Antakya,Antioch on the Orontes,Place name,real,settlement name,city,,36.20655,36.15722,Old Swedish,Själens tröst,A 108,23,Manuscript,Henning 1954,30,,Commonly attested and known,The name is declined as a Latin accusative.,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=13),source,,,1400,1449,🏙️
Bocatii walske bøcker,,walske,valsk,Italian,,Non-name,real,,,adjective,42.83333,12.83333,Old Danish,Griseldis,Saml. 1a,124,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,291,,Commonly attested and known,"The textual context makes it clear that here walsk refers to Italian, it could otherwise refer to French as well.",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=14),show-as,Italy,,1490,1510,
paa latine,,latine,latin,Latin,,Non-name,real,,,language designation,48.69096,9.14062,Old Danish,Griseldis,Saml. 1a,124,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,291,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=15),show-as,Europe,,1490,1510,
aff latinen,af,latinen,latin,Latin,,Non-name,real,,,language designation,48.69096,9.14062,Old Danish,Griseldis,Saml. 1a,124,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,291,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=16),show-as,Europe,,1490,1510,
paa tiiske,,tiisk,thythisk,German language,,Non-name,real,,,language designation,51.5,10.5,Old Danish,Griseldis,Saml. 1a,124,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,291,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=17),show-as,Germany,,1490,1510,
[W]ty Walandh,ut i,Walandh,Valland,Italy,,Place name,real,choronym,country,,42.83333,12.83333,Old Danish,Griseldis,Saml. 1a,125,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,292,,Educated guess,"The story of Griseldis (from Boccaccio's Decameron) takes place in Italy, thus Walandh here is identified with Italy, though formally it could refer to France as well.",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=18),source,,,1490,1510,
biergh som hetther Wesaus,,Wesaus,Viso,Mount Viso,,Place name,real,oronym,mountain,,44.6676,7.09051,Old Danish,Griseldis,Saml. 1a,125,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,292,,Educated guess,Interpretation taken from Danske Folkebøger VIII.191,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=19),source,,,1490,1510,⛰️
thet landt som hetther Liguria,,Liguria,Liguria,Liguria,,Place name,real,choronym,region,,44.5,8.83333,Old Danish,Griseldis,Saml. 1a,125,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,292,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=20),source,,,1490,1510,
gønwm Emiliam Ffenniam,genem,Emilia Fennia,Emilia Flamminia,Emilia-Romagna,,Place name,real,choronym,region,,44.5444,10.98361,Old Danish,Griseldis,Saml. 1a,125,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,292,,Educated guess,"The edition Lægebøger... has Ffenni[di]/am where the first i is uncertain, di is added by the editor, and the / indicates line break. Since the Middle Low German version has Flaminiam and the later Danish version Flamminiam, there is no doubt that the Old Danish is a mistake most probably influence by the following Ffenedy Venice.",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=21),source,,,1490,1510,
tiill Ffenedy,til,Ffenedy,Venedig,Venice,,Place name,real,settlement name,city,,45.43713,12.33265,Old Danish,Griseldis,Saml. 1a,125,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,292,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=22),source,,,1490,1510,🏙️
en stadt som hetther Salwtem,,Salutem,Saluzzo,Saluzzo,,Place name,real,settlement name,city,,44.64671,7.49309,Old Danish,Griseldis,Saml. 1a,126,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,293,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=23),source,,,1490,1510,🏙️
tiil Bononien,til,Bononien,Bononien,Bologna,,Place name,real,settlement name,city,,44.49381,11.33875,Old Danish,Griseldis,Saml. 1a,146,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,319,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=24),source,,,1490,1510,🏙️
greffuens hostru aff Pauentz,af,Pauentz,Panicus,Panico,,Place name,real,settlement name,city,,44.35465,11.21566,Old Danish,Griseldis,Saml. 1a,146,Manuscript,Det Danske Sprog- og Litteraturselskab 1970,319,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=25),source,,,1490,1510,🏙️
Her dydhrik van bernin,van,Bernin,Bernen,Verona,,Place name,real,settlement name,city,,45.4299,10.98444,Old Swedish,Själens tröst,A 108,1,Manuscript,Henning 1954,1,,Commonly attested and known,"The Old Swedish form Bernin might be a scribal adaptation of Middle Low German van den Berne since the definite article seems to be added to the name, the Middle Low German preposition van used here has the same meaning at Old Swedish fran 'from'.",[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=26),source,,,1400,1449,🏙️
Mange herra oc førsto / Riddara oc swena aff fiærran landum,af,Fiærran land,Fiærran land,"Fiærran land, Fjarren land",Distant land,Place name,real,choronym,country,,,,Old Swedish,Själens tröst,A 108,1,Manuscript,Henning 1954,2,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=27),unresolved,,,1400,1449,
j salta hafwit som kallas mærit,,Mærit,Mæret,Mediterranean Sea,,Place name,real,hydronym,sea,,35,20,Old Swedish,Själens tröst,A 108,1,Manuscript,Henning 1954,2,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=28),source,,,1400,1449,🌊
fiskia j mærit,i,Mærit,Mæret,Mediterranean Sea,,Place name,real,hydronym,sea,,35,20,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,2,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=29),source,,,1400,1449,🌊
eet mønster widh mærit,viþ,Mærit,Mæret,Mediterranean Sea,,Place name,real,hydronym,sea,,35,20,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,2,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=30),source,,,1400,1449,🌊
tidhrik af bærna,af,Bærn,Bern,Verona,,Place name,real,settlement name,city,,45.4299,10.98444,Old Danish,Sjælens Trøst,C 529,1,Manuscript,Nielsen 1937-1952,5,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=31),source,,,1415,1435,🏙️
"Mange hærra, forste, ridara, oc swena, af fiærrin landom",af,fiærrin landom,fjarren land,"Fræmadha land, Fræmethe land",Foreign land,Place name,real,choronym,country,,,,Old Danish,Sjælens Trøst,C 529,2,Manuscript,Nielsen 1937-1952,5,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=33),unresolved,,,1415,1435,
j salta hafvit som kallas mærit,,Mærit,Mæret,Mediterranean Sea,,Place name,real,hydronym,sea,,35,20,Old Danish,Sjælens Trøst,C 529,2,Manuscript,Nielsen 1937-1952,6,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=35),source,,,1415,1435,🌊
vit mærit,vither,Mærit,Mæret,Mediterranean Sea,,Place name,real,hydronym,sea,,35,20,Old Danish,Sjælens Trøst,C 529,2,Manuscript,Nielsen 1937-1952,6,,Educated guess,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=37),source,,,1415,1435,🌊
til jerusalem,til,Jerusalem,Jerusalem,Jerusalem,,Place name,real,settlement name,city,,31.76904,35.21633,Old Danish,Sjælens Trøst,C 529,3,Manuscript,Nielsen 1937-1952,6,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=39),source,,,1415,1435,🏙️
The ædhla drotnigen aff saba,af,Saba,Saba,Sheba,,Place name,real,choronym,country,,15.37954,44.70886,Old Swedish,Själens tröst,A 108,2,Manuscript,Henning 1954,3,,Commonly attested and known,,[Norse World](https://norseworld.nordiska.uu.se/?type=attestation&id=41),source,,,1400,1449,
